Operational Profile,DURAÇÃO,EngineLoad,PotenciaMaxima,EnginesRunning,Speed,DraftBow,DraftStern,BEAUFORT,MDO,MDOPred
Eco Transit,0.010833333,0.36,835.2,2,8.59079487,2.565,3.918,4,0.008532,0.787569231
Eco Transit,0.363055556,0.22,510.4,2,6.556342,4.54049885,3.96290742,5.4,0.150132,0.413523489
Transit,0.034444444,0.35,812,2,9.35891935,2.55801613,3.8205,4,0.026334,0.764535484
Eco Transit,0.068333333,0.22,510.4,2,5.84119512,4.41206504,3.79622764,3.9,0.02828,0.413853659
Transit,0.008888889,0.29,672.8,2,9.154,4.529,3.877,5.9,0.005289,0.5950125
Eco Transit,0.069166667,0.3,696,2,7.79964257,4.60065462,4.01032932,4,0.04419799,0.639007084
Eco Transit,0.008055556,0.2,464,2,4.07834483,4.666,4.71,3.7,0.002697,0.3348
Eco Transit,0.006666667,0.32,742.4,2,8.982708,2.594217,4.227856,4.8,0.004533,0.67995
Transit,0.147777778,0.31,719.2,2,10.61373684,4.45100752,4.77977444,2.4,0.098262,0.664930827
Transit,0.121666667,0.3,696,2,10.67674658,4.49749315,3.72361644,5.4,0.077289,0.635252055
Fast Transit,0.041388889,0.32,742.4,2,11.03963087,2.62010067,3.87190604,4.6,0.028578,0.690475168
Eco Transit,0.023888889,0.31,719.2,2,8.84311628,4.54613953,3.71102326,3.5,0.016139,0.675586047
Transit,0.006388889,0.27,626.4,2,9.044,4.71,3.521,3.3,0.003642,0.570052174
Transit,0.013333333,0.35,812,2,9.10866667,2.566,3.861,4,0.010343,0.775725
Transit,0.014444444,0.34,788.8,2,9.0755,2.535,4.499,5.5,0.010581,0.732530769
Eco Transit,0.082222222,0.32,742.4,2,8.91953,2.555835,4.448837,5.1,0.057874,0.703872973
Transit,0.436666667,0.33,765.6,2,9.25546756,4.22585242,4.21990394,2.8,0.303607,0.695283206
Transit,0.011666667,0.32,742.4,2,9.01695238,4.273,4.24969048,2.8,0.00805599,0.690513429
Transit,0.061111111,0.32,742.4,2,9.153309,2.563297,4.462494,5.1,0.042395,0.693736364
Transit,0.112222222,0.31,719.2,2,9.05521,2.608705,4.115127,3.4,0.074899,0.667416832
Transit,0.155277778,0.33,765.6,2,9.16803399,4.23949732,4.22853131,2.8,0.108088,0.696094454
Transit,0.003055556,0.29,672.8,2,9.032,2.519,3.679,4.8,0.001841,0.602509091
Eco Transit,0.007777778,0.29,672.8,2,8.99332143,4.529,3.876,5.9,0.004547,0.584614286
Eco Transit,0.024722222,0.26,603.2,2,8.98489888,2.577,4.03252809,4.8,0.01331401,0.538544225
Eco Transit,0.043055556,0.21,487.2,2,6.06972258,2.41550968,4.37616129,5.4,0.016512,0.383504516
Transit,0.455555556,0.31,719.2,2,9.33082073,2.56080976,4.44936707,5,0.30117,0.661104878
Eco Transit,0.310555556,0.22,510.4,2,6.91805161,4.38274401,4.10135442,2.5,0.128028,0.412254741
Eco Transit,0.0225,0.35,812,2,8.90325926,4.46762963,4.184,5.4,0.01685301,0.749022667
Eco Transit,0.553055556,0.26,603.2,2,7.23592819,4.73603243,4.95556631,3.8,0.2861,0.517307885
Transit,0.047777778,0.32,742.4,2,10.96088372,4.84143023,4.95943023,2.5,0.033829,0.708048837
Transit,0.275,0.33,765.6,2,10.90143434,4.41310505,4.82498788,2.4,0.196638,0.715047273
Eco Transit,0.003055556,0.29,672.8,2,8.923,4.494,3.843,5.9,0.001839,0.601854545
Eco Transit,0.0075,0.2,464,2,4.05,4.673,4.719,3.7,0.002484,0.3312
Transit,0.003055556,0.3,696,2,9.116818,2.515106,4.559589,3.2,0.002039,0.667309091
Transit,0.059444444,0.33,765.6,2,9.0998972,4.2807757,4.26156075,4.9,0.04176099,0.702521327
Eco Transit,0.031388889,0.36,835.2,2,8.83261947,2.566,3.84693805,4,0.02482,0.790725664
Eco Transit,0.013888889,0.32,742.4,2,8.86334,4.51178,3.69478,3.5,0.01001,0.72072
Fast Transit,0.006388889,0.33,765.6,2,11.005087,2.512486,4.511876,3.2,0.004669,0.7308
Eco Transit,0.023611111,0.35,812,2,8.93777647,4.86416471,4.68087059,4.1,0.018864,0.798945882
Eco Transit,0.034722222,0.33,765.6,2,8.8484,2.562122,4.463217,5.1,0.024506,0.7057728
Eco Transit,0.086944444,0.27,626.4,2,7.54195847,4.64632268,4.42036741,5.1,0.045982,0.528866454
Eco Transit,0.024722222,0.33,765.6,2,8.83014607,4.28479775,4.24940449,4.9,0.017272,0.698642697
Eco Transit,0.184722222,0.34,788.8,2,8.81896391,2.53090827,4.21766617,5.5,0.13456801,0.728488475
Transit,0.021111111,0.34,788.8,2,9.19931579,4.70373684,3.44952632,3.3,0.015915,0.753868421
Fast Transit,0.03,0.29,672.8,2,11.04677778,2.58577778,4.597,5.1,0.017817,0.5939
Eco Transit,0.061666667,0.32,742.4,2,8.73569369,4.274,4.26952252,2.8,0.042957,0.6966
