Complexity,Loss,Equation
1,0.019233407,"0.64032495"
3,0.008862939,"Speed * 0.07382126"
4,0.0069972356,"erf(Speed * 0.077360325)"
5,0.0067652185,"sin(sin(Speed * 0.09296236))"
6,0.0065500126,"sin(Speed * 0.14970772) + -0.2794024"
7,0.0057411296,"cos(sin(Speed * 0.315489)) * 0.7370659"
8,0.005675866,"sin(erf(sin(exp(sin(Speed * -0.3569395)))))"
9,0.005524123,"cos((cos(Speed) - -4.9187975) / Speed) * 0.7806321"
10,0.0049154316,"cos(sin((Speed - sin(BEAUFORT)) * -0.30024868)) * 0.73645383"
12,0.004709073,"cos(erf(sin(Speed * -0.44246957) - (3.1559684 / BEAUFORT))) * 0.72760457"
13,0.004554937,"cos(erf(erf((3.1187246 / BEAUFORT) - sin(Speed * -0.44830686)))) + -0.25988346"
14,0.0044970275,"(0.9333213 ^ BEAUFORT) * cos(erf(sin(Speed * -0.44608206) - (3.9176934 / BEAUFORT)))"
15,0.0043860693,"cos(erf((3.5169058 / BEAUFORT) - sin(Speed * -0.44284144))) * erf(0.94498014 ^ BEAUFORT)"
16,0.0043800916,"erf(0.94773424 ^ BEAUFORT) * cos(erf(sinh(sin(Speed * -0.44863668)) - (3.9048073 / BEAUFORT)))"
17,0.0043410733,"cos(erf(erf(sinh(3.5087507 / (BEAUFORT - sin(DraftStern))) - sin(Speed * -0.4527699)))) + -0.26028478"
18,0.00433371,"cos(erf(erf(sin(Speed * -0.45417908) - sinh(3.6038134 / (BEAUFORT - sinh(sin(DraftStern))))))) + -0.2609149"
19,0.0042647407,"cos(erf(erf((3.2766137 / (BEAUFORT - cos(1.2260478 / sin(BEAUFORT)))) - sin(Speed * -0.451423)))) + -0.2634835"
20,0.004196647,"cos(erf(erf((3.4372635 / (BEAUFORT - cos(1.3610618 / erf(sin(BEAUFORT))))) - sin(Speed * -0.45298973)))) + -0.2617354"
21,0.0040993784,"cos(erf(erf(sin(Speed * -0.45342442) - (3.2746122 / (BEAUFORT - (cos(-1.4043207 / sin(BEAUFORT)) * 0.48500377)))))) + -0.25941318"
22,0.0040919776,"cos(erf((cos((Speed * -0.154656) / sin(BEAUFORT)) / DraftStern) - (sin(Speed * -0.44875285) - (3.4283664 / BEAUFORT)))) * 0.7351074"
23,0.0040055844,"cos(erf(erf((cos(Speed * (-0.15479767 / sin(BEAUFORT))) * 0.18560766) - (sin(Speed * -0.45173013) - (3.3359344 / BEAUFORT))))) + -0.2534167"
24,0.0039967606,"cos(erf(erf((sin(Speed * -0.45223033) - (3.3381639 / BEAUFORT)) - (sinh(cos((Speed * 0.15463594) / sin(BEAUFORT))) * 0.16858423)))) + -0.25373435"
25,0.003888669,"cos(erf(erf((sin(Speed * -0.45146403) - (3.3393514 / BEAUFORT)) - (cos((Speed * -0.16793229) / sin(BEAUFORT ^ 0.9925741)) * 0.18515411)))) + -0.25102425"
26,0.0038702413,"cos(erf((cos(-1.3856949 / sin(BEAUFORT)) * (cos(Speed * -0.7333941) / DraftStern)) - erf(sin(Speed * -0.44109395) - (3.1070464 / BEAUFORT)))) + -0.2518622"
27,0.0038460589,"cos(erf(((sin(Speed * -0.55954844) * cos(1.3728485 / erf(sin(BEAUFORT)))) * 0.29182866) - erf(sin(Speed * -0.43649697) - (3.2253792 / BEAUFORT)))) + -0.2534844"
28,0.0038283847,"cos(erf((sinh(cos(-1.3736507 / erf(sin(BEAUFORT))) * sin(Speed * -0.55889034)) * 0.27346528) - erf(sin(Speed * -0.436283) - (3.225535 / BEAUFORT)))) + -0.25346586"
29,0.0038090302,"cos(erf(erf(sin(Speed * -0.43597254) - (3.2229583 / BEAUFORT)) - (sinh(sinh(sin(Speed * -0.5588819) * cos(1.3757762 / erf(sin(BEAUFORT))))) * 0.24940291))) + -0.2534562"
30,0.003777984,"cos(erf((sinh(sinh(sin(Speed * -0.5468049) * cos(1.3603883 / sin(erf(sin(BEAUFORT)))))) * 0.24373981) - erf(sin(Speed * -0.4358273) - (3.2848718 / BEAUFORT)))) + -0.2504091"
31,0.003738779,"cos(erf((sinh(sinh(sinh(cos(-1.5215931 / erf(erf(sin(BEAUFORT)))) * sin(Speed * -0.54056764)))) * 0.21041152) - erf(sin(Speed * -0.43485034) - (3.3155622 / BEAUFORT)))) + -0.24782176"
32,0.003699283,"cos(erf((sinh(sinh(sinh(cos(-1.5260451 / erf(erf(sin(BEAUFORT)))) * sinh(sin(Speed * -0.54998463))))) * 0.1610601) - erf(sin(Speed * -0.43207562) - (3.2567987 / BEAUFORT)))) + -0.24900118"
33,0.0036992005,"cos(erf(erf(sin(Speed * -0.43206418) - (3.2567987 / BEAUFORT)) - (sinh(sinh(sinh(sinh(sin(Speed * -0.5499929)) * cos(1.3524387 / sin(sin(erf(sin(BEAUFORT)))))))) * 0.16112834))) + -0.24898595"
34,0.0036926435,"cos(erf((sinh(sinh(sinh(cos(1.5220668 / erf(erf(sin(BEAUFORT)))) * sinh(sin(Speed * -0.54704535))))) * (DraftStern * 0.039202858)) - erf(sin(Speed * -0.43196267) - (3.2755558 / BEAUFORT)))) + -0.24864759"
35,0.0036926202,"cos(erf((sinh(sinh(sinh(sinh(cos(1.5220678 / erf(erf(sin(BEAUFORT)))) * sinh(sin(Speed * -0.5471361))))) * 0.039162338) * DraftStern) - erf(sin(Speed * -0.4320044) - (3.27554 / BEAUFORT)))) + -0.24867475"
36,0.0036564139,"cos(erf((((cos(1.5178077 / erf(erf(sin(BEAUFORT)))) * cos(0.28619707 / sin(DraftStern + BEAUFORT))) / 2.92978) * sin(Speed * -0.52914196)) - erf(sin(Speed * -0.44121993) - (3.3866591 / BEAUFORT)))) + -0.2482927"
37,0.003633924,"cos(erf((cos(0.28614953 / sin(DraftStern + BEAUFORT)) * (sinh(sin(Speed * -0.5323269) * cos(-1.5187972 / erf(erf(sin(BEAUFORT))))) / 3.0859003)) - erf(sin(Speed * -0.43994948) - (3.371112 / BEAUFORT)))) + -0.2484661"
38,0.0036037455,"cos(erf(erf(sin(Speed * -0.43849304) - (3.3514059 / BEAUFORT)) - ((cos(0.28616485 / sin(BEAUFORT + DraftStern)) / 3.3109875) * sinh(sinh(sin(Speed * -0.53559685) * cos(-1.5201992 / erf(erf(sin(BEAUFORT))))))))) + -0.24864334"
39,0.0035525444,"cos(erf((cos(0.28627965 / sin(BEAUFORT + DraftStern)) * (sinh(sinh(cos(-1.5245427 / erf(erf(sin(BEAUFORT)))) * sinh(sin(Speed * -0.54144186)))) / DraftStern)) - erf(sin(Speed * -0.43679276) - (3.2923002 / BEAUFORT)))) + -0.24919444"
40,0.0035452223,"cos(erf((sinh(sinh(sinh(sin(Speed * -0.5425479) * cos(-1.5265278 / erf(erf(sin(BEAUFORT))))))) * erf(cos(-0.2862949 / sin(DraftStern + BEAUFORT)) / DraftStern)) - erf(sin(Speed * -0.43646222) - (3.2986438 / BEAUFORT)))) + -0.24899212"
